"Marca temporal","Por favor escriba hasta cinco elementos que deba tener un sistema (ser, organismo, agente, etc.) para ser llamado ""inteligente""."
"2020/05/04 7:44:49 a. m. GMT-5","Autonomía, toma de decisiones y aprendizaje "
"2020/05/04 7:44:58 a. m. GMT-5","Toma de decisiones consciente, aprendizaje sobre la marcha, capacidad para comunicarse."
"2020/05/04 7:44:59 a. m. GMT-5","Tomar decisiones, como interactuar con el medio(sentidos), memoria"
"2020/05/04 7:45:01 a. m. GMT-5","auto-aprendizaje
reacción
estados"
"2020/05/04 7:45:02 a. m. GMT-5","Capacidad de aprendizaje, racionalidad, adaptación."
"2020/05/04 7:45:10 a. m. GMT-5","feedback
memoria
entradas
experiencia
"
"2020/05/04 7:45:20 a. m. GMT-5","Se debe comunicar, debe ser capaz de aprender, debe tener toma de decisiones basadas en razonamiento."
"2020/05/04 7:45:34 a. m. GMT-5","cerebro , movimiento ,organos."
"2020/05/04 7:45:41 a. m. GMT-5","Debe ser capaz de asegurar su subsistencia"
"2020/05/04 7:45:57 a. m. GMT-5","datos de entrada(estímulos), datos de salida(respuestas), capacidad de retro-alimentación
capacidad para llevar a cabo o no la tarea dispuesta"
"2020/05/04 7:46:10 a. m. GMT-5","toma de decisiones,Capacidad de Aprendizaje,Capacidad de reevaluar lo aprendido,capacidad de comunicación entre sistemas ""iguales""."
"2020/05/04 7:46:36 a. m. GMT-5","Autonomía, lógica, procesamiento, interpretación, adapatación."
"2020/05/04 7:46:44 a. m. GMT-5","toma de decisiones, resolver problemas complejos"
"2020/05/04 7:47:00 a. m. GMT-5","Yo creo que un sistema para que sea llamado inteligemte debe primero tener las caracteristicas especificas de lo que lo hace diferente de los demás, me refiero como a lo que debe elegir, como lo que hace google maps con las caras de las personas, otro elemento podrían datos generales, como una base de lo que debe elegir."
"2020/05/04 7:47:07 a. m. GMT-5","aprendizaje, memoria donde almacene lo que aprende,sentidos,reaccionar dependiendo de una situacion, cumplir un objetivo"
"2020/05/04 7:47:44 a. m. GMT-5","Pensar"
"2020/05/04 7:49:20 a. m. GMT-5","Es un agente, basado previamente de instrucciones. 
También la inteligencia es por decirlo una toma de decisiones que a medida que va haciendo estas instrucciones su enseñanza va aumentando."
"2020/05/04 7:49:37 a. m. GMT-5","Tomar decisiones, como interactuar con el medio(sentidos), memoria"
"2020/05/04 7:50:27 a. m. GMT-5","capacidad de percibir y actuar, capacidad de aprender, capacidad de razonar
"
"2020/05/04 7:51:04 a. m. GMT-5","."
"2020/05/04 7:51:51 a. m. GMT-5","1. Tomar decisiones que sean mas acordes a la situación  
2. Reconocer los errores y no volver a cometerlos 
3. Valorar los resultados de las decisiones tomadas 
4. Aprender de los resultados
5. No perder el horizonte de su objetivo "
"2020/05/04 7:52:24 a. m. GMT-5","."